Date,Open,High,Low,Close,Adj Close,Volume
5/7/2020,154.839996,162,154.039993,157.800003,157.800003,8388900
5/8/2020,160,161.160004,152.705002,155.399994,155.399994,7079100
5/11/2020,159.429993,168,158,166.479996,166.479996,10128500
5/12/2020,168,168.229996,160.050003,161.039993,161.039993,7102600
5/13/2020,163.610001,171.5,159.169998,167.139999,167.139999,11081300
5/14/2020,168.259995,170.800003,162.889999,167.910004,167.910004,6730500
5/15/2020,166.75,175.440002,166.559998,174.830002,174.830002,8540500
5/18/2020,170.029999,173.440002,162.641998,164.690002,164.690002,9636800
5/19/2020,167,173.860001,166.210007,173.679993,173.679993,8485500
5/20/2020,173.529999,175.639999,170.529999,175.479996,175.479996,6910000
5/21/2020,175.960007,177.800003,168.360001,172.029999,172.029999,5525300
5/22/2020,171.860001,175.889999,170.199997,171.059998,171.059998,4302200
5/26/2020,169.100006,169.690002,163.119995,164,164,6689700
5/27/2020,158.009995,162.220001,149.160004,161.970001,161.970001,10076700
5/28/2020,159.229996,169.399994,159.199997,163.550003,163.550003,6386800
5/29/2020,168,179.990005,167.860001,179.479996,179.479996,15311300
6/1/2020,183.179993,205.869995,183,204.149994,204.149994,24394400
6/2/2020,210.25,212.690002,197.320007,208.080002,208.080002,36853400
6/3/2020,211.699997,224.460007,202.320007,223.869995,223.869995,32390100
6/4/2020,221,223,207.600006,210.350006,210.350006,20212600
6/5/2020,200.110001,208.940002,196.100006,207.600006,207.600006,16298700
6/8/2020,204.350006,211.440002,198.660004,209.830002,209.830002,10457500
6/9/2020,209.830002,210.589996,202.929993,205.429993,205.429993,7521800
6/10/2020,208.889999,221.529999,208.259995,221.020004,221.020004,12241100
6/11/2020,219.179993,232,218.5,222.070007,222.070007,17615800
6/12/2020,224.789993,231.449997,216.75,219.520004,219.520004,8766000
6/15/2020,227.839996,239.589996,226.380005,239.020004,239.020004,13959100
6/16/2020,235.990005,243.5,231.820999,242.559998,242.559998,11333300
6/17/2020,243.179993,243.880005,235.119995,236.759995,236.759995,11691400
6/18/2020,240.389999,242.610001,238.220001,241.570007,241.570007,9340900
6/19/2020,241.639999,243.570007,238.703995,243.479996,243.479996,10077500
6/22/2020,247.464996,254.899994,247.289993,251.270004,251.270004,11093700
6/23/2020,251.259995,254.774994,247.570007,252.809998,252.809998,8791500
6/24/2020,254.5,258.75,248.600006,255.899994,255.899994,9862800
6/25/2020,258.230011,260.290009,252.660004,259.51001,259.51001,7490500
6/26/2020,260.519989,261.619995,250.360001,256.799988,256.799988,17142900
6/29/2020,254.970001,255.899994,243.589996,248.559998,248.559998,8436400
6/30/2020,249.869995,256.829987,248.350006,253.539993,253.539993,6305500
7/1/2020,251.350006,261,247.210007,259.130005,259.130005,6803300
7/2/2020,261,263.799988,258,261.73999,261.73999,5629000
7/6/2020,265,275.079987,259.320007,261,261,12250200
7/7/2020,261.549988,266.450012,258.100006,262.100006,262.100006,7819700
7/8/2020,263.799988,268.528015,261.290009,266.320007,266.320007,6012900
7/9/2020,269.01001,272.700012,264.220001,269.519989,269.519989,5396000
7/10/2020,271.769989,278.160004,268.640015,275.869995,275.869995,6354800
7/13/2020,278.630005,281,256.338013,260.299988,260.299988,9293000
7/14/2020,260.959991,265.329987,240.449997,260.01001,260.01001,8713100
7/15/2020,253.699997,257.5,248.119995,256.220001,256.220001,6073600
7/16/2020,250.389999,253,243.429993,248.539993,248.539993,5420100
7/17/2020,247.169998,250.936996,241.289993,246.539993,246.539993,4626600
7/20/2020,246.487,271.350006,245.990005,268.579987,268.579987,9784900
7/21/2020,268.75,269.75,258.200012,260.440002,260.440002,4762000
7/22/2020,261.950012,265.399994,255.809998,261.179993,261.179993,4581600
7/23/2020,260.839996,264.899994,249.210007,251.5,251.5,4589400
7/24/2020,246.199997,250.210007,237.199997,246.559998,246.559998,4303200
7/27/2020,249.279999,252.970001,246.220001,252.330002,252.330002,3328600
7/28/2020,252.699997,258.910004,251.320007,252.179993,252.179993,3366200
7/29/2020,255.550003,259.929993,251.149994,252.389999,252.389999,3333700
7/30/2020,250.313995,256.325989,239.320007,250,250,7926100
7/31/2020,253.5,255.199997,248.360001,253.910004,253.910004,3381100
8/3/2020,256.829987,271.100006,256.109985,268,268,6779300
8/4/2020,268,269.190002,262,267.339996,267.339996,3087300
8/5/2020,266.290009,275.093994,262.519989,272.899994,272.899994,4514900
8/6/2020,273.869995,274.480011,263.910004,268.25,268.25,3602900
8/7/2020,266.450012,268,252.789993,258.730011,258.730011,5024700
